Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5pY3ovFxbvAg7reGZjJQSp,"I See Fire","x (Deluxe Edition)","Ed Sheeran",2014-06-21,299146,1,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.641,0.176,6,-11.692,1,0.0349,0.638,0.00000514,0.252,0.297,76.031,4
spotify:track:5puU24G3lHVsUXPAWW2ZpV,"Make It Rain","x (Wembley Edition)","Ed Sheeran",2013,404480,49,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.618,0.239,8,-8.371,0,0.0274,0.791,0,0.1,0.327,96.846,3
spotify:track:5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,88,false,quirky613,2026-06-25T23:59:43Z,"","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
spotify:track:1lbXEepatjRVjoG8pZMtdp,"Dreams","Greatest Hits","Fleetwood Mac",1988-11-22,254453,70,false,quirky613,2026-06-25T23:59:43Z,"","Warner Records",0.823,0.338,0,-15.899,1,0.0413,0.139,0.00129,0.5,0.785,120.473,4
spotify:track:4xh7W7tlNMIczFhupCPniY,"Go Your Own Way - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,223613,70,false,quirky613,2026-06-25T23:59:43Z,"","Rhino/Warner Records",0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,4
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,"Killing Me Softly With His Song","The Score (Expanded Edition)","Fugees;Ms. Lauryn Hill",1996-02-13,298666,83,true,quirky613,2026-06-25T23:59:43Z,"east coast hip hop","Columbia",0.765,0.289,4,-17.125,0,0.147,0.0268,0.00000177,0.562,0.501,92.413,4
spotify:track:5uCax9HTNlzGybIStD3vDh,"Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211477,87,false,quirky613,2026-06-25T23:59:43Z,"","Columbia",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
spotify:track:2lMOo57ThDuatdDuNxxv9e,"Get Down","James Arthur (Deluxe)","James Arthur",2013-11-04,226826,42,false,quirky613,2026-06-25T23:59:43Z,"","Syco Music",0.495,0.774,7,-4.971,0,0.0374,0.000797,0,0.322,0.348,100.899,4
spotify:track:7b2boextDf0DimJSN0TcLp,"Get Down - Acoustic","James Arthur (Deluxe)","James Arthur",2013-11-04,250840,34,false,quirky613,2026-06-25T23:59:43Z,"","Syco Music",0.406,0.485,4,-5.427,0,0.036,0.734,0,0.102,0.558,121.351,5
spotify:track:0vg4WnUWvze6pBOJDTq99k,"You're Beautiful","Back to Bedlam","James Blunt",2005-08-08,209493,80,true,quirky613,2026-06-25T23:59:43Z,"","Custard/Atlantic",0.675,0.479,0,-9.87,0,0.0278,0.633,0.0000176,0.088,0.454,81.998,4
spotify:track:2T5Ch09nefwckOu5NQvjIk,"Carolina in My Mind","Greatest Hits","James Taylor",1976,238573,72,false,quirky613,2026-06-25T23:59:43Z,"","Rhino/Warner Records",0.579,0.267,4,-15.11,1,0.0348,0.118,0.000562,0.132,0.353,74.899,4
spotify:track:69l8nFPu0LWmnoJX7YSVYc,"You've Got a Friend","Mud Slide Slim and the Blue Horizon","James Taylor",1971,268706,0,false,quirky613,2026-06-25T23:59:43Z,"","Rhino",0.695,0.282,9,-15.359,1,0.0295,0.681,0.0267,0.0767,0.445,91.681,4
spotify:track:3LcYYV9ozePfgYYmXv0P3r,"Fire and Rain","Sweet Baby James","James Taylor",1970,200579,1,false,quirky613,2026-06-25T23:59:43Z,"","Rhino",0.611,0.35,5,-14.48,1,0.0356,0.499,0.00000784,0.0844,0.36,76.064,4
spotify:track:6668ZaUUXqZ25Tb0DMr2HO,"When You Love Someone - Acoustic","When You Love Someone (Acoustic)","James TW",2016-08-19,210106,60,false,quirky613,2026-06-25T23:59:43Z,"","Island Records",0.712,0.298,7,-8.363,1,0.0407,0.779,0,0.115,0.568,125.019,4
spotify:track:4gs07VlJST4bdxGbBsXVue,"Heartbreak Warfare","Battle Studies","John Mayer",2009-11-13,269720,67,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Columbia",0.624,0.554,2,-8.113,1,0.0225,0.191,0.00131,0.299,0.311,97.031,4
spotify:track:5DydMbw2U5Oh1OckJIsniN,"All We Ever Do Is Say Goodbye","Battle Studies","John Mayer",2009-11-13,275266,51,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Columbia",0.559,0.51,5,-8.294,0,0.0247,0.288,0.0000531,0.242,0.327,129.881,4
spotify:track:7hR5toSPEgwFZ78jfHdANM,"Half of My Heart","Battle Studies","John Mayer",2009-11-13,250373,68,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Columbia",0.681,0.593,5,-9.327,1,0.0251,0.435,0.000117,0.106,0.731,115.058,4
spotify:track:0HLWvLKQWpFdPhgk6ym58n,"Who Says","Battle Studies","John Mayer",2009-11-13,175480,62,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Columbia",0.584,0.509,2,-13.109,1,0.0287,0.267,0.00252,0.36,0.367,90.457,4
spotify:track:42dbDZX9bsEGqMZWYmnR7J,"Perfectly Lonely","Battle Studies","John Mayer",2009-11-13,268093,60,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Columbia",0.678,0.53,0,-8.515,1,0.024,0.00987,0.000274,0.0437,0.678,91.779,4
spotify:track:1wkaoS4jTVXYMUWHKVFZTk,"Friends, Lovers or Nothing","Battle Studies","John Mayer",2009-11-13,359240,50,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Columbia",0.526,0.672,9,-7.89,1,0.029,0.0266,0.014,0.133,0.388,134.332,4
spotify:track:3SktMqZmo3M9zbB7oKMIF7,"Gravity","Continuum","John Mayer",2006-09-11,245773,70,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Aware/Columbia",0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,3
spotify:track:5FPnjikbwlDMULCCCa6ZCJ,"Daughters","Heavier Things","John Mayer",2003-09-09,239320,69,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Aware/Columbia",0.674,0.413,2,-7.816,1,0.0274,0.836,0.0000195,0.098,0.503,124.893,3
spotify:track:0oiCeOPwm4zhwfyIpAE37y,"Love on the Weekend","The Search for Everything","John Mayer",2017-04-14,212320,67,false,quirky613,2026-06-25T23:59:43Z,"indie folk,folk pop","Columbia",0.718,0.583,7,-7.884,1,0.0288,0.623,0.000681,0.0612,0.422,119.971,4
spotify:track:1wi4ti9BYUbwoGJ1EBUVtv,"Foundations","Made of Bricks","Kate Nash",2007-01-01,245120,46,true,quirky613,2026-06-25T23:59:43Z,"neo soul","Polydor Records",0.573,0.916,0,-3.39,1,0.0616,0.0795,0,0.0784,0.871,84.476,4
spotify:track:2wgk0vMQCnwkETPJiqsQTt,"Mouthwash","Made of Bricks","Kate Nash",2007-08-06,301813,35,false,quirky613,2026-06-25T23:59:43Z,"neo soul","Polydor Records",0.528,0.808,1,-5.198,1,0.0504,0.0545,0.00000809,0.073,0.649,154.948,4
spotify:track:0MGCNfMNZ8Uaq0qRNQJBZm,"We Get On","Made of Bricks","Kate Nash",2007-08-06,274226,29,false,quirky613,2026-06-25T23:59:43Z,"neo soul","Polydor Records",0.639,0.792,0,-6.097,1,0.0334,0.174,0.0000151,0.102,0.721,123.998,4
spotify:track:4xEDawqLVwsC331aF6Z33x,"Merry Happy","Made of Bricks","Kate Nash",2007-01-01,327400,44,false,quirky613,2026-06-25T23:59:43Z,"neo soul","Polydor Records",0.729,0.482,11,-7.107,0,0.0376,0.52,0,0.091,0.604,89.023,4
spotify:track:52UUUJnBvaEX4LtEbtJgUI,"In Your Arms","Stairwells","Kina Grannis",2010,184960,33,false,quirky613,2026-06-25T23:59:43Z,"yacht rock,classic rock,soft rock","One Haven Music",0.672,0.396,2,-9.489,0,0.0349,0.474,0,0.0921,0.458,130.015,4
spotify:track:0udoMICxzaUbNUT8EVRq8B,"Elastic Heart - Piano Version","1000 Forms Of Fear (Deluxe Version)","Sia",2015-05-04,250133,65,false,quirky613,2026-06-26T00:01:46Z,"","Monkey Puzzle Records/RCA Records",0.44,0.306,9,-5.403,1,0.0377,0.903,0,0.0888,0.25,71.021,4
spotify:track:2CZX6RHW9EYFhhTANVsF5A,"Chandelier - Live from The Village","Spotify Sessions","Sia",2016-04-13,237333,51,false,quirky613,2026-06-26T00:01:46Z,"","Monkey Puzzle Records/RCA Records",0.448,0.336,11,-7.706,1,0.0336,0.967,0.00000103,0.11,0.372,81.568,4
spotify:track:6h49FC49XbtI9aqGtaYWJq,"Mojo Fix","Mojo Fix","Martin Harley",2012-10-09,184882,0,false,quirky613,2026-06-26T00:08:02Z,"","60/20 Records",0.716,0.711,5,-4.571,1,0.0717,0.311,0.296,0.0694,0.804,112.022,4
spotify:track:2qFCGyrOeAMCFtqj7b7lpu,"Ball & Chain","Mojo Fix","Martin Harley",2012-10-09,269270,0,false,quirky613,2026-06-26T00:08:02Z,"","60/20 Records",0.626,0.549,4,-8.472,1,0.0275,0.0541,0.0073,0.269,0.654,96.024,4
spotify:track:7lGKEWMXVWWTt3X71Bv44I,"Unsteady","VHS","X Ambassadors",2015-06-30,193546,75,false,quirky613,2026-06-26T00:08:02Z,"","Kid Ina Korner / Interscope",0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,4
spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)","us","gnash;Olivia O'Brien",2016-03-25,251033,78,true,quirky613,2026-06-26T00:12:31Z,"southern gothic,garage rock,blues rock,singer-songwriter",":):",0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,4
spotify:track:46Vc1HEBiktnVhfI4g4QDf,"Eleven Days","Gold Rush","Max Frost",2018-10-05,227200,23,true,quirky613,2026-06-26T00:12:31Z,"trip hop","Atlantic Records",0.692,0.693,0,-4.862,1,0.0812,0.034,0,0.11,0.183,128.081,4
spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq,"Cecilia And The Satellite","Andrew McMahon In The Wilderness","Andrew McMahon in the Wilderness",2014-10-13,223879,60,false,quirky613,2026-06-26T00:12:31Z,"folk pop","Vanguard",0.381,0.844,5,-7.123,1,0.144,0.0131,0,0.318,0.239,194,4
spotify:track:0D9VLJT3XIoaGDYrGLyNbN,"Maps For The Getaway","Andrew McMahon In The Wilderness","Andrew McMahon in the Wilderness",2014-10-13,237717,34,false,quirky613,2026-06-26T00:12:31Z,"folk pop","Vanguard",0.579,0.783,4,-6.001,0,0.0336,0.0168,0,0.131,0.225,102.004,4
spotify:track:39QSFJV5eDDngjyhjVdu3k,"Rainy Girl","Andrew McMahon In The Wilderness (Deluxe Edition)","Andrew McMahon in the Wilderness",2015-01-01,179392,16,false,quirky613,2026-06-26T00:12:31Z,"folk pop","Concord",0.542,0.315,8,-9.06,1,0.0293,0.761,0,0.098,0.456,84.922,4
spotify:track:1cO9mqXYl1TIWZVaOLmdhs,"Shine","Call It What It Is","Ben Harper And The Innocent Criminals",2016-04-08,235560,0,false,quirky613,2026-06-26T00:12:31Z,"","Universal Music Group",0.769,0.81,7,-8.835,1,0.043,0.0565,0.00932,0.0794,0.887,97.031,4
spotify:track:5EQ9yEra0SzVd673ZfKT4C,"Brand New","Brand New","Ben Rector",2015-08-28,243933,0,false,quirky613,2026-06-26T00:12:31Z,"pop soul","APTLY NAMED RECORDINGS, LLC",0.553,0.936,9,-5.015,1,0.11,0.00338,0.00000135,0.102,0.412,144.884,4
spotify:track:2iPTESocncak2Q45oXzKOG,"Beat the Devil's Tattoo","Beat the Devil's Tattoo","Black Rebel Motorcycle Club",2010-03-09,225760,0,false,quirky613,2026-06-26T00:12:31Z,"modern blues,blues,southern gothic","Vagrant Records",0.521,0.921,4,-2.744,1,0.0382,0.42,0.0207,0.175,0.707,96.51,4
spotify:track:7BXToqZFtclAj6mshYWena,"Jungle Drum","Me And Armini","Emilíana Torrini",2008-09-08,133466,0,false,quirky613,2026-06-26T00:12:31Z,"","Rough Trade",0.636,0.881,2,-5.376,1,0.0758,0.134,0.00952,0.074,0.845,118.237,4
spotify:track:5aagC9VbZrcwYUZDhgC8Ej,"Rumble And Sway","Rumble And Sway EP","Jamie N Commons",2013-01-01,185533,46,false,quirky613,2026-06-26T00:12:31Z,"","Kid Ina Korner / Interscope",0.645,0.821,1,-4.912,1,0.248,0.106,0.0000538,0.137,0.682,79.986,4
spotify:track:1YzYzu5GPci4cDB8KjFJ68,"Lonesome Road","Most Things Haven't Worked Out","Junior Kimbrough",1997,217626,0,false,quirky613,2026-06-26T00:12:31Z,"","Fat Possum Records",0.422,0.268,0,-11.923,1,0.0291,0.967,0.31,0.136,0.248,61.536,4
