Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:33hrqRmiYqIDRZ3zRwoytC,"Fire And Ice","Best Shots","Pat Benatar",1989-01-01,201626,16,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.736,0.522,0,-8.405,0,0.0313,0.119,0.000176,0.0863,0.701,118.299,4
spotify:track:248dKZ2jdpQ274if9L58zr,"Heartbreaker","Best Shots","Pat Benatar",1989-01-01,208506,20,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.464,0.655,5,-7.696,0,0.0826,0.299,0.0000142,0.0617,0.909,155.709,4
spotify:track:40VeYDanRnoTukrIgjRrKO,"Treat Me Right - Single Version","Ultimate Collection","Pat Benatar",2008-01-01,192666,33,false,quirky613,2026-06-26T00:00:39Z,"","Capitol Records",0.572,0.771,2,-4.333,0,0.0418,0.0341,0.0000254,0.0529,0.47,135.716,4
spotify:track:7ct1bZztkqljDCEslggLIk,"F**kin' Perfect","F**kin' Perfect","P!nk",2010-12-24,213413,1,true,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.57,0.654,7,-4.763,1,0.0346,0.0389,0,0.361,0.464,91.98,4
spotify:track:6qYGUxPjQt5PJtWdiNppZx,"So What","Funhouse","P!nk",2008-10-24,215160,2,true,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.535,0.887,11,-3.106,1,0.0449,0.000304,0.00000223,0.257,0.445,126.01,4
spotify:track:56elgHuzFP2aqqA0rUjRj1,"Sober","Funhouse","P!nk",2008-10-24,251533,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.607,0.793,6,-4.888,1,0.0313,0.0763,0,0.21,0.413,90.922,4
spotify:track:1uQ3wKvdmFjBMMABNW3cf7,"I Don't Believe You","Funhouse","P!nk",2008-10-24,276280,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.466,0.274,8,-9.06,1,0.0269,0.782,0,0.108,0.261,92.779,4
spotify:track:4VhnATkAKN9BvgHS0joLWA,"One Foot Wrong","Funhouse","P!nk",2008-10-24,204773,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.443,0.791,10,-4.129,0,0.145,0.115,0.00000136,0.113,0.654,142.995,4
spotify:track:2tAtg37styBgPSHzKnJQYB,"Please Don't Leave Me","Funhouse","P!nk",2008-10-24,231560,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.591,0.84,6,-4.498,1,0.0375,0.00955,0,0.262,0.751,138.034,4
spotify:track:06NfzRcjMmcxUkZ65r5T9g,"Bad Influence","Funhouse","P!nk",2008-10-24,216293,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.675,0.898,2,-4.1,1,0.059,0.000499,0.00000271,0.049,0.76,138.079,4
spotify:track:3JBhJEZUrP2dt3HcXaNxyz,"Funhouse","Funhouse","P!nk",2008-10-24,204626,0,true,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.787,0.859,11,-2.985,0,0.0359,0.0057,0.00000131,0.0426,0.808,103.944,4
spotify:track:5K3PZqx2XwrVWJrcdJIU4y,"Crystal Ball","Funhouse","P!nk",2008-10-24,206293,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.61,0.207,10,-14.159,1,0.0385,0.586,0,0.109,0.472,123.717,4
spotify:track:5VaDt7ezZcBGCfDxzcRn7w,"Mean","Funhouse","P!nk",2008-10-24,257906,0,true,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.423,0.882,4,-4.495,1,0.107,0.0504,0,0.364,0.586,74.753,4
spotify:track:3Zr0SRYO4E0jET5ihOBQcQ,"It's All Your Fault","Funhouse","P!nk",2008-10-24,232013,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.516,0.879,11,-5.315,0,0.0568,0.0000428,0.00075,0.12,0.188,142.971,4
