Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1L0z2CQKrKJ2spYSMkfim9,"Bottom Bitch","Hot Pink","Doja Cat",2019-11-07,197930,60,true,quirky613,2026-06-26T00:15:39Z,"","Kemosabe Records/RCA Records",0.695,0.825,6,-2.891,1,0.0359,0.00265,0.000928,0.0723,0.484,160.028,4
spotify:track:7k51pIqTGEHHZOnpI11Qq2,"Won't Bite (feat. Smino)","Hot Pink","Doja Cat;Smino",2019-11-07,195207,66,true,quirky613,2026-06-26T00:15:39Z,"","Kemosabe Records/RCA Records",0.807,0.783,5,-3.115,1,0.0964,0.351,0,0.14,0.592,127.996,4
spotify:track:6HZILIRieu8S0iqY8kIKhj,"DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,81,true,quirky613,2026-06-26T00:15:39Z,"jazz funk,funk,soul jazz,acid jazz","Aftermath",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4
spotify:track:6XYbMGvtl6tlPoGWaiH7EY,"Baby Be Mine","Thriller","Michael Jackson",1982-11-30,260368,80,false,quirky613,2026-06-26T00:19:17Z,"","Epic",0.843,0.483,11,-10.288,0,0.095,0.0848,0.00000763,0.0741,0.665,109.588,4
spotify:track:7cflqPPi3zWfLFRRBTWeh6,"talk is overrated","idle","Jeremy Zucker;blackbear",2017-10-27,189800,57,true,quirky613,2026-06-26T00:19:36Z,"","Mercury Records/Republic Owned",0.776,0.355,4,-8.319,0,0.0685,0.436,0,0.301,0.663,138.036,4
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,"The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,86,true,quirky613,2026-06-26T00:19:49Z,"","Atlantic Records",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
spotify:track:3GXo1eWlT2flv4x01l5OTu,"Disco Inferno - Edit","Playlist: The Best Of The Trammps","The Trammps",2016-06-17,215626,62,false,quirky613,2026-06-26T00:19:53Z,"","Rhino Atlantic",0.761,0.614,10,-11.445,1,0.0354,0.0439,0.0596,0.0531,0.894,129.637,4
spotify:track:5qmq61DAAOUaW8AUo8xKhh,"Truth Hurts","Cuz I Love You (Deluxe)","Lizzo",2019-05-03,173325,59,true,quirky613,2026-06-26T00:20:33Z,"r&b","Nice Life/Atlantic",0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,4
spotify:track:3rmpb2RKPlbdbMjlc7SOlX,"Water Me","Cuz I Love You (Deluxe)","Lizzo",2019-05-03,185594,34,false,quirky613,2026-06-26T00:20:33Z,"r&b","Nice Life/Atlantic",0.67,0.966,3,-1.994,0,0.177,0.0292,0,0.185,0.77,113.046,4
spotify:track:3FQ26GroLnhQEja48FKYqT,"Green Light","Green Light","Lorde",2017-03-02,234661,0,false,quirky613,2026-06-26T00:20:33Z,"","Universal Music",0.597,0.733,9,-7.768,1,0.101,0.0151,0.0000209,0.081,0.256,128.918,4
